Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TCL","Cultures et produits animaux","780","Trinité-et-Tobago","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","306","A","Chiffre officiel"
"TCL","Cultures et produits animaux","788","Tunisie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","233.14","A","Chiffre officiel"
"TCL","Cultures et produits animaux","788","Tunisie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","548","A","Chiffre officiel"
"TCL","Cultures et produits animaux","788","Tunisie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2738.84","A","Chiffre officiel"
"TCL","Cultures et produits animaux","788","Tunisie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","2927","A","Chiffre officiel"
"TCL","Cultures et produits animaux","795","Turkménistan","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","9647.53","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","795","Turkménistan","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","8481","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","792","Turquie","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","2752.28","A","Chiffre officiel"
"TCL","Cultures et produits animaux","792","Turquie","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1996","A","Chiffre officiel"
"TCL","Cultures et produits animaux","792","Turquie","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","405030.36","A","Chiffre officiel"
"TCL","Cultures et produits animaux","792","Turquie","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","515421","A","Chiffre officiel"
"TCL","Cultures et produits animaux","798","Tuvalu","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","586.66","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","798","Tuvalu","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","639","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","798","Tuvalu","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","0.16","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","798","Tuvalu","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","0","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","804","Ukraine","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","106930.34","A","Chiffre officiel"
"TCL","Cultures et produits animaux","804","Ukraine","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","42926","A","Chiffre officiel"
"TCL","Cultures et produits animaux","804","Ukraine","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","270979.43","A","Chiffre officiel"
"TCL","Cultures et produits animaux","804","Ukraine","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","387464","A","Chiffre officiel"
"TCL","Cultures et produits animaux","858","Uruguay","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","347.87","A","Chiffre officiel"
"TCL","Cultures et produits animaux","858","Uruguay","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","1008","A","Chiffre officiel"
"TCL","Cultures et produits animaux","858","Uruguay","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3178.05","A","Chiffre officiel"
"TCL","Cultures et produits animaux","858","Uruguay","5922","Exportations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","3698","A","Chiffre officiel"
"TCL","Cultures et produits animaux","548","Vanuatu","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","3394.08","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","548","Vanuatu","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","7610","T","Chiffre non officiel"
"TCL","Cultures et produits animaux","862","Venezuela (République bolivarienne du)","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","23121.08","A","Chiffre officiel"
"TCL","Cultures et produits animaux","862","Venezuela (République bolivarienne du)","5622","Importations - Valeur","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","1000 US$","58958","A","Chiffre officiel"
"TCL","Cultures et produits animaux","704","Viet Nam","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","tonnes","105695.06","I","Valeur imputée"
