Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB par habitant,Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Population totale,Population urbaine,Part de l'élevage de poulet (%),Political_Stability,distance_km
Guyana,1.255257638776264,-0.5018765497601045,-0.2896455267310826,-0.5644847262313543,-0.5004562887679026,-0.3582991314758825,-0.4825377239510902,-0.3030265714867218,2.7338492350196497,0.23635153461266067,-0.5685925616505894,-0.5940116270593373,3.474288696146525,0.11152289458476762,0.34317592929657037
Géorgie,-0.22807648379165313,-0.45597084583264863,-0.26132879567494216,-0.07221849123884963,-0.44947720675327196,-0.3582991314758825,-0.4960917283219013,-0.4549080865082245,0.03802033001061756,-0.017946879466933192,-0.4951433348219911,-0.4950730112879691,-0.4139529306865057,-0.2968450772260643,-0.65864342832479
Honduras,0.14379579623587793,-0.22802528150321247,-0.2839821805198545,-0.44865737682135315,-0.21267114836272943,-0.3582991314758825,-0.23856564527649043,-0.5719918194601529,0.19483148607436046,1.083666833221939,-0.3522083809735227,-0.3540539257777829,0.0496427694616354,-0.5319660306929069,0.7264259934458076
Hongrie,0.7296504496870722,-0.13146500772477074,0.899657177626816,-0.004652537416348995,-0.14524720118208886,0.5301690815594574,0.21323450041721276,0.3260276764978442,0.07878496957410325,-0.3793993345630263,-0.3482511064037861,-0.2739336948509805,0.13055907933001162,1.1633797916732742,-1.2025403154837688
Indonésie,-0.8035436433873298,3.124674060508912,-0.2896455267310826,-0.5548324471138542,2.581311443342352,5.219306872579307,2.9360833784645974,-0.4706059162408766,1.7334482307070849,0.2731913302043685,5.869906028804811,6.287526034825739,3.046588201127964,-0.45771730854548287,1.4345328266400934
Iran (République islamique d'),0.7296504496870722,2.961629663801051,-0.03479494722581863,-0.5065710515263537,3.1009691825882646,-0.3582991314758825,2.7448213167875966,-0.2943185659635688,-0.5154532269875607,-0.9109449566719532,1.4757716265218235,2.27983465677323,1.9472214948711524,0.04299217747628317,-0.4445476295016311
Iraq,-0.19068150591178973,0.3434215846282213,-0.2896455267310826,3.972086458993688,0.37276605154722287,-0.11150240563273252,-0.38464769238412116,-0.38650826978296077,0.23084592222961325,0.641589286121446,0.3800340127028266,0.6807872181874497,-0.003287448271813831,-2.6975537599927732,-0.5346613297553319
Irlande,1.1036002284857065,-0.3499128402071471,0.2370456709131296,0.39109090640115474,-0.3475190427240106,-0.3582991314758825,-0.3635636855850817,4.418335715199266,-1.7319408482316399,-1.8635168141146823,-0.47073175587883653,-0.4607208276787258,-0.8824157772928949,1.3985007451401168,-1.3216626390368138
Italie,0.3203831917796775,1.3042754564891088,0.7467468299236576,0.3717863481661545,1.3347906637588018,-0.3582991314758825,1.4511668996179596,1.6171152780266733,-0.7555494680225765,-0.521495688988185,0.8776349424386518,1.3846912943590393,-0.13774236918092028,0.5446404404447408,-1.2381474746611933
Jordanie,0.7919754128201777,-0.11721840995418098,-0.23301206461880172,0.05326113728865155,-0.09755709220066017,-0.3582991314758825,-0.21296363702051394,-0.4417483056539288,0.2988731905228673,2.1625465612648096,-0.3378405537938472,-0.18337198188919637,1.3236183549081015,-0.45771730854548287,-0.6609282686492227
