Zone,Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Valeur US $ du PIB (en millions),Valeur US $ par habitant du PIB (en US dol),Valeur US $ du RNB (en millions),Valeur US $ par habitant du RNB (en US dol),Coût d'une alimentation équilibré (PPP dollar par personne par jour),Coût des aliments d'origine animale,Coût des fruits,"Coût en légumineuses, noix et graines",Coût en huile et graisse,Coût des féculents,Coût des légumes,Femmes,Hommes,Population rurale,Population totale,Population urbaine
Tunisie,6.28,195.0,4.0,0.0,195.0,0,213.0,39802.143071,3481.203612,38572.63606,3373.667587,3.476,0.841,1.127,0.482,0.181,0.318,0.527,5957.666,5853.778,3616.197,11811.443,7915.93
Turquie,6.99,1674.0,429.0,3.0,1674.0,0,2192.0,858988.5786,10589.573121,839920.393873,10354.501385,2.873,0.817,0.85,0.271,0.127,0.36,0.448,40905.866,41183.96,20473.563,82089.826,60271.457
Uruguay,2.97,33.0,3.0,3.0,31.0,0,33.0,64233.966863,18690.915595,60670.395187,17653.981078,3.073,0.615,0.537,0.487,0.068,0.378,0.989,1767.547,1654.653,164.541,3422.2,3292.209
Viet Nam,4.01,1206.0,1.0,291.0,1166.0,39.0,918.0,223779.866149,2365.521494,207929.413476,2197.970287,3.586,1.183,0.556,0.305,0.189,0.582,0.771,47620.37,46412.679,61898.302,94033.048,33642.498
Zambie,1.15,60.0,1.0,12.0,58.0,2.0,49.0,25868.161487,1534.874627,25056.039122,1486.687747,3.085,0.906,0.372,0.232,0.13,0.814,0.631,8772.12,8525.934,9747.709,17298.054,7346.421
Zimbabwe,1.59,76.0,0,6.0,67.0,3.0,69.0,22040.902301,1548.186368,20079.596788,1410.421297,3.456,0.95,0.513,0.33,0.144,0.55,0.968,7810.471,6940.631,11201.138,14751.101,5328.766
Égypte,4.51,1250.0,1.0,110.0,1250.0,0,1118.0,195135.299313,2023.331158,191353.592958,1984.119163,3.457,1.209,0.531,0.384,0.264,0.58,0.489,50273.865,51515.521,55893.406,101789.386,41659.745
Émirats arabes unis,14.8,412.0,94.0,433.0,412.0,0,48.0,385605.506855,40644.804043,388382.906447,40937.556248,2.755,0.856,0.562,0.269,0.149,0.388,0.532,2675.811,6392.484,1292.709,9068.296,8107.436
Équateur,6.15,341.0,0.0,0.0,324.0,17.0,340.0,104295.862,6213.501276,101858.207,6068.27622,2.788,0.753,0.329,0.341,0.129,0.81,0.426,8346.245,8350.7,6039.811,16696.944,10585.047
États-Unis d'Amérique,19.93,18266.0,3692.0,123.0,18100.0,0,21914.0,19479623.0,59921.674703,19893073.0,61193.496874,3.225,0.557,0.61,0.285,0.059,0.661,1.053,166509.214,163282.016,58215.947,329791.231,266243.516
Éthiopie,0.04,14.0,0,1.0,14.0,1.0,14.0,76794.516911,721.753494,76338.468764,717.467324,3.108,0.882,0.777,0.271,0.189,0.444,0.545,53779.101,54418.849,83640.582,108197.95,21316.856
